# index,date_and_time,caller_number,caller_channel,called_number,called_channel,ring_time,talk_time,status,details
1,1402/09/20 07:35:12,2043321,35:529,421707001,38:384,0:48,1:44,answered,
2,1402/06/28 12:38:16,642,3:847,611,8:487,0:35,2:53,answered,
3,1402/06/06 12:22:13,6931034,18:818,421704164,5:723,5:10,4:46,answered,
4,1402/06/13 11:04:13,421703764,37:997,603,14:771,3:25,0:00,No answer,no pickup
5,1402/03/17 14:05:48,8242388,4:981,7965,11:911,5:27,4:04,answered,
6,1402/11/11 08:18:27,797,11:564,9018,-,1:32,0:00,No answer,no pickup
7,1402/02/03 18:31:52,21589325288,5:878,21670154303,9:231,5:30,0:00,No answer,no pickup
8,1402/04/03 12:01:37,3489,36:335,921483465787,1:172,5:40,0:14,answered,
9,1402/04/04 08:42:27,21151834738,23:533,2142170837,4:789,5:41,0:00,No answer,no pickup
10,1402/02/15 19:55:54,21165133387,36:200,2142170724,-,0:05,1:10,answered,
11,1402/12/26 15:42:45,873,32:258,921126064746,14:159,4:47,0:00,busy,
12,1402/02/28 09:04:38,1500,5:791,9421709820,26:222,4:15,0:00,Failed,network error
13,1402/05/15 12:59:48,1916,5:109,5353462,37:202,0:34,0:00,busy,
14,1402/09/23 11:39:51,421709425,34:108,421704542,36:406,5:06,1:16,answered,
15,1402/07/27 11:02:00,21282449353,22:889,9740,17:265,5:28,4:45,answered,
16,1402/03/14 09:02:19,901,24:915,421703805,3:466,1:43,1:42,answered,
17,1402/04/07 20:58:29,21686923226,23:412,21356342160,15:328,0:42,0:00,No answer,no pickup
18,1402/01/04 11:11:37,421707541,17:139,6868,28:453,5:50,2:27,answered,
19,1402/09/22 18:47:47,9169,13:472,506,22:738,2:42,0:46,answered,
20,1402/03/20 16:19:25,2142170946,36:953,7482366,-,3:50,0:00,busy,
21,1402/05/17 17:40:39,6777,22:195,972,16:788,2:14,0:00,busy,
22,1402/12/13 14:25:15,421703003,10:771,9421702769,7:897,3:14,1:51,answered,
